21:43:56 PngImagePlugin.py - DEBUG: STREAM b'IHDR' 16 13
21:43:56 PngImagePlugin.py - DEBUG: STREAM b'IDAT' 41 8192
21:43:56 PngImagePlugin.py - DEBUG: STREAM b'IHDR' 16 13
21:43:56 PngImagePlugin.py - DEBUG: STREAM b'IDAT' 41 8192
21:43:56 PngImagePlugin.py - DEBUG: STREAM b'IHDR' 16 13
21:43:56 PngImagePlugin.py - DEBUG: STREAM b'IDAT' 41 8192
21:43:56 proactor_events.py - DEBUG: Using proactor: IocpProactor
21:43:56 scanner.py - DEBUG: Received B2:22:7A:8F:41:02: Unknown.
21:43:56 scanner.py - DEBUG: Received B2:22:7A:8F:41:02: Unknown.
21:43:56 scanner.py - DEBUG: Received B2:22:7A:8F:41:02: Unknown.
21:43:56 scanner.py - DEBUG: Received B2:22:7A:8F:41:02: Unknown.
21:43:56 scanner.py - DEBUG: Received 32:24:A9:BA:72:47: Unknown.
21:43:56 scanner.py - DEBUG: Received 32:24:A9:BA:72:47: Unknown.
21:43:57 scanner.py - DEBUG: Received 32:24:A9:BA:72:47: Unknown.
21:43:57 scanner.py - DEBUG: Received 32:24:A9:BA:72:47: Unknown.
21:43:57 scanner.py - DEBUG: Received 4C:AB:4F:95:87:7B: Unknown.
21:43:57 scanner.py - DEBUG: Received B2:22:7A:8F:41:02: Unknown.
21:43:57 scanner.py - DEBUG: Received 32:24:A9:BA:72:47: Unknown.
21:43:57 scanner.py - DEBUG: Received 32:24:A9:BA:72:47: Unknown.
21:43:57 scanner.py - DEBUG: Received 32:24:A9:BA:72:47: Unknown.
21:43:57 scanner.py - DEBUG: Received 32:24:A9:BA:72:47: Unknown.
21:43:57 scanner.py - DEBUG: Received 18:B5:8D:75:DF:3E: Unknown.
21:43:57 scanner.py - DEBUG: Received 44:5C:E9:84:13:F7: Unknown.
21:43:57 scanner.py - DEBUG: Received 44:5C:E9:84:13:F7: [TV] Samsung 7 Series (65).
21:43:57 scanner.py - DEBUG: Received 65:DC:76:1F:34:20: Unknown.
21:43:58 scanner.py - DEBUG: Received A0:D0:5B:8D:BA:CC: Unknown.
21:43:58 scanner.py - DEBUG: Received 44:5C:E9:84:13:F7: Unknown.
21:43:58 scanner.py - DEBUG: Received 44:5C:E9:84:13:F7: [TV] Samsung 7 Series (65).
21:43:58 scanner.py - DEBUG: Received 4C:C4:65:FD:4D:A2: Unknown.
21:43:58 scanner.py - DEBUG: Received 4C:C4:65:FD:4D:A2: Unknown.
21:43:58 scanner.py - DEBUG: Received 4F:70:18:E5:D5:8E: Unknown.
21:43:58 scanner.py - DEBUG: Received 4C:AB:4F:95:87:7B: Unknown.
21:43:58 scanner.py - DEBUG: Received 44:5C:E9:84:13:F7: Unknown.
21:43:58 scanner.py - DEBUG: Received B2:22:7A:8F:41:02: Unknown.
21:43:58 scanner.py - DEBUG: Received B2:22:7A:8F:41:02: Unknown.
21:43:58 scanner.py - DEBUG: Received 66:84:5C:35:23:E9: Unknown.
21:43:58 scanner.py - DEBUG: Received 66:84:5C:35:23:E9: Unknown.
21:43:58 scanner.py - DEBUG: Received E1:81:8C:70:84:D4: Unknown.
21:43:59 scanner.py - DEBUG: Received A0:D0:5B:8D:BA:CC: Unknown.
21:43:59 scanner.py - DEBUG: Received 48:37:E8:FD:7D:56: Unknown.
21:43:59 scanner.py - DEBUG: Received 48:37:E8:FD:7D:56: Unknown.
21:43:59 scanner.py - DEBUG: Received 18:B5:8D:75:DF:3E: Unknown.
21:43:59 scanner.py - DEBUG: Received 49:83:2B:CF:83:23: Unknown.
21:43:59 scanner.py - DEBUG: Received 66:DD:9F:98:7C:D3: Unknown.
21:43:59 scanner.py - DEBUG: Received 66:DD:9F:98:7C:D3: Unknown.
21:43:59 scanner.py - DEBUG: Received 44:5C:E9:84:13:F7: Unknown.
21:43:59 scanner.py - DEBUG: Received 4F:70:18:E5:D5:8E: Unknown.
21:43:59 scanner.py - DEBUG: Received 32:24:A9:BA:72:47: Unknown.
21:43:59 scanner.py - DEBUG: Received 6D:03:67:B4:DD:25: Unknown.
21:43:59 scanner.py - DEBUG: Received 6D:03:67:B4:DD:25: Unknown.
21:43:59 scanner.py - DEBUG: Received B2:22:7A:8F:41:02: Unknown.
21:43:59 scanner.py - DEBUG: Received C6:F1:45:DF:46:A1: Unknown.
21:43:59 scanner.py - DEBUG: Received B2:22:7A:8F:41:02: Unknown.
21:43:59 scanner.py - DEBUG: Received B2:22:7A:8F:41:02: Unknown.
21:43:59 scanner.py - DEBUG: Received 66:84:5C:35:23:E9: Unknown.
21:43:59 scanner.py - DEBUG: Received 66:84:5C:35:23:E9: Unknown.
21:44:00 scanner.py - DEBUG: Received 32:24:A9:BA:72:47: Unknown.
21:44:00 scanner.py - DEBUG: Received 32:24:A9:BA:72:47: Unknown.
21:44:00 scanner.py - DEBUG: Received 4F:70:18:E5:D5:8E: Unknown.
21:44:00 scanner.py - DEBUG: Received A0:D0:5B:8D:BA:CC: Unknown.
21:44:00 scanner.py - DEBUG: Received FA:3D:C9:93:09:85: Unknown.
21:44:00 scanner.py - DEBUG: Received 19:96:8E:77:5C:77: Unknown.
21:44:00 scanner.py - DEBUG: Received 3A:FD:21:CA:55:68: Unknown.
21:44:00 scanner.py - DEBUG: Received B2:22:7A:8F:41:02: Unknown.
21:44:00 scanner.py - DEBUG: Received B2:22:7A:8F:41:02: Unknown.
21:44:00 scanner.py - DEBUG: Received 44:5C:E9:84:13:F7: Unknown.
21:44:00 scanner.py - DEBUG: Received 4F:70:18:E5:D5:8E: Unknown.
21:44:00 scanner.py - DEBUG: Received 4F:70:18:E5:D5:8E: Unknown.
21:44:00 scanner.py - DEBUG: Received 14:6D:53:F1:AB:A7: Unknown.
21:44:00 scanner.py - DEBUG: Received A0:D0:5B:8D:BA:CC: Unknown.
21:44:00 scanner.py - DEBUG: Received 66:84:5C:35:23:E9: Unknown.
